Year,Week Ending Date,Detail Record Count,Date Received from AKR,Date Loaded to Repository,FMP Area,FMP Subarea,Reporting Area Code,Gear Code,Trip Target Name,Species Group Name,Species Common Name,Retained/Discarded,Vessel Federal Permit,Vessel Name,Vessel Length,# Distinct Vessels,Conf Flag,Weight Posted (mt)
2013,1/19/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,517,PTR,Pollock - midwater,Shark,Pacific sleeper shark,Discarded,1164,PATRICIA L,117,1,1,0.027482791
2013,1/19/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,517,PTR,Pollock - midwater,BSAI Skate,"skate, other",Discarded,1164,PATRICIA L,117,1,1,0.049
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,513,PTR,Pollock - midwater,Shark,Pacific sleeper shark,Retained,417,STARWARD,123,1,1,0.002
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,517,PTR,Pollock - midwater,Shark,Pacific sleeper shark,Retained,417,STARWARD,123,1,1,0.024
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,513,PTR,Pollock - midwater,Octopus,"octopus, North Pacific",Discarded,411,DOMINATOR,124,1,1,0.003
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,517,PTR,Pollock - midwater,Octopus,"octopus, North Pacific",Discarded,1687,ALEUTIAN CHALLENGER,98,1,1,0.0013
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,513,PTR,Pollock - midwater,Shark,"shark, other",Discarded,3988,DESTINATION,180,1,1,0.002
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,517,PTR,Pollock - midwater,Shark,"shark, other",Discarded,3988,DESTINATION,180,1,1,0.000113398
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,543,ROYAL AMERICAN,105,1,1,0.00723453
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,1641,STORM PETREL,123,1,1,0.000788564
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,1913,ANITA J,130,1,1,0.008362389
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,2769,NORTHERN PATRIOT,165,1,1,0.011752521
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,2770,SOVEREIGNTY,165,1,1,0.013108633
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,3002,NORTHWEST EXPLORER,162,1,1,0.003331693
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,3010,PACIFIC EXPLORER,155,1,1,0.00974055
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,3257,DEFENDER,200,1,1,0.020638916
2013,1/26/13,1,10/1/17 22:25,10/5/17 16:38,BSAI,BS,509,PTR,Pollock - midwater,Shark,"shark, salmon",Discarded,3388,ARCTIC EXPLORER,155,1,1,0.001629946
